mode,episode,success,insertion_time_s,peak_contact_force_N,rms_contact_force_N,peak_torque_Nm,jam,target_translation_displacement_m,target_rotation_displacement_deg,target_peak_linear_velocity_mps,target_peak_angular_velocity_dps,relative_final_position_error_m,relative_final_orientation_error_deg,final_insertion_depth_m,final_stage,contact_steps,target_final_linear_velocity_mps,target_final_angular_velocity_dps
floating_zero_velocity,20360849,0,9.6,21.074573882373045,1.1635600318269412,0.4654661552461392,0,0.07514017294579514,0.13271085092514165,0.02334837164537362,2.4912155398330467,0.0028190255894024268,0.6047132339204925,0.029656179222592196,INSERTION,10,0.015479764357713604,0.007242532433026398
floating_zero_velocity,20360850,1,3.744,9.944633868975629,0.6811695559999766,0.20577174593717484,0,0.015504401000451445,0.05325860504932808,0.014659653978685686,1.3684117042251245,0.006883787696457764,2.0401942096520322,0.030004860831126367,SUCCESS,4,0.014615757353774577,0.6723144326642491
floating_zero_velocity,20360851,0,9.6,13.34598808599955,1.5638365936894054,0.32091130661669726,1,0.3917943055494912,0.6122010908385632,0.06528532341268987,2.236181048881299,0.010379552818246169,3.6638845840830885,0.005437590638233247,INSERTION,88,0.03609019155194072,0.2563563605774258
floating_zero_velocity,20360852,1,1.232,18.311124903427196,2.0810456220515166,0.48017835022097416,0,0.008291215512126807,0.0519367281426471,0.012593461683004792,1.548410516940219,0.003387418375885004,1.7215918124362775,0.030002960101504866,SUCCESS,3,0.01113645395254718,1.3511726168265017e-05
floating_zero_velocity,20360853,1,5.296,16.885316906056385,0.9701618554881439,0.3454649264734082,0,0.029630841393593982,0.055326310844802266,0.02187379833740204,2.4269423078949544,0.00681889537384394,2.0484117866157154,0.030014597478197094,SUCCESS,8,0.021808299798187256,0.5832408886882835
floating_zero_velocity,20360854,1,4.336,4.9816654736604224,0.2825749801808863,0.0881071886410327,0,0.012356447725030766,0.023584046878330052,0.005953875777299223,0.5842218616589332,0.006811687226737967,1.849012504378477,0.030010875096065436,SUCCESS,3,0.0013533701255166643,4.11919039293561e-57
floating_zero_velocity,20360855,1,4.168,16.778642734899243,1.055596419763256,0.4088069747730798,0,0.025153910519139427,0.04925807063027741,0.016488166975825117,2.4090877335912837,0.007527068017176653,2.681830506403436,0.030144941666857824,SUCCESS,6,0.015903817606044385,0.526027505239791
floating_zero_velocity,20360856,1,6.104,17.715598007448197,1.3746307539427365,0.4324160160760059,0,0.026116448888783953,0.057981936629023074,0.021428400559624937,2.645557384928354,0.00590498959390251,2.1221957368620417,0.030011707549996863,SUCCESS,12,0.017039916412254785,0.3734324563121626
floating_zero_velocity,20360857,0,9.6,13.769802753733808,1.588591831032452,0.3172759633985121,1,0.43464368047440444,0.692702514742227,0.0655581548909474,2.125776092871794,0.009237371770076877,3.6466810576457105,0.022205294802576946,INSERTION,57,0.05307580901672841,0.030129769921089778
floating_zero_velocity,20360858,0,9.6,0.0,0.0,0.0,0,0.0,6.98852347001261e-17,0.0,0.0,0.007355885383416955,0.28939725110481723,0.0,CONTACT_SEARCH,0,0.0,0.0
